Orden	Palabra	Frec.absoluta	Frec.normalizada
161219	sagar	12	0.07
161224	salif	12	0.07
161238	samsó	12	0.07
161246	sandí	12	0.07
161247	sanea	12	0.07
161264	sarid	12	0.07
161266	saros	12	0.07
161275	saver	12	0.07
161281	scart	12	0.07
161287	schön	12	0.07
161314	semir	12	0.07
161335	seros	12	0.07
161343	sesga	12	0.07
161351	shams	12	0.07
161355	sheva	12	0.07
161370	sijín	12	0.07
161371	sills	12	0.07
161389	sinfo	12	0.07
161405	sitar	12	0.07
161415	snoop	12	0.07
161429	socas	12	0.07
161438	soldi	12	0.07
161463	sopra	12	0.07
161464	soroa	12	0.07
161470	spark	12	0.07
161474	spend	12	0.07
161493	stuck	12	0.07
161541	sugus	12	0.07
161569	suppé	12	0.07
161594	sutel	12	0.07
161596	szell	12	0.07
161601	taesa	12	0.07
161605	talal	12	0.07
161615	tammy	12	0.07
161619	tanzi	12	0.07
161637	tarzi	12	0.07
161644	tébar	12	0.07
161650	tekit	12	0.07
161664	telia	12	0.07
161675	teñen	12	0.07
161700	testi	12	0.07
161701	testó	12	0.07
161704	tetiz	12	0.07
161716	thurn	12	0.07
161730	timbó	12	0.07
161759	tombe	12	0.07
161762	tonny	12	0.07
161765	torda	12	0.07
161834	treto	12	0.07
161846	tripp	12	0.07
161850	trish	12	0.07
161858	tromp	12	0.07
161868	tsska	12	0.07
161882	turna	12	0.07
161909	umbro	12	0.07
161910	uncle	12	0.07
161923	unity	12	0.07
161935	uruca	12	0.07
161946	vacca	12	0.07
161950	vader	12	0.07
161978	vater	12	0.07
161994	vekic	12	0.07
162007	vents	12	0.07
162020	veste	12	0.07
162056	vinil	12	0.07
162065	viran	12	0.07
162094	vosté	12	0.07
162111	wayna	12	0.07
162115	weich	12	0.07
162118	weltz	12	0.07
162119	wharf	12	0.07
162127	wiles	12	0.07
162129	wilke	12	0.07
162145	won't	12	0.07
162149	wuhan	12	0.07
162154	xenon	12	0.07
162157	xinia	12	0.07
162161	yabos	12	0.07
162162	yaire	12	0.07
162176	yojoa	12	0.07
162177	yorio	12	0.07
162189	zalea	12	0.07
162195	zanje	12	0.07
162202	zberg	12	0.07
162203	zedán	12	0.07
162204	zeevi	12	0.07
162205	zegrí	12	0.07
162213	zonta	12	0.07
162232	abcrd	11	0.07
162235	abían	11	0.07
162241	abogo	11	0.07
162294	aceto	11	0.07
162343	addai	11	0.07
162382	agapo	11	0.07
162384	agech	11	0.07
162386	ageus	11	0.07
162393	agnés	11	0.07
162394	agnew	11	0.07
162430	ainsi	11	0.07
162438	ajmed	11	0.07
162452	albal	11	0.07
162459	alcer	11	0.07
162465	aldus	11	0.07
162486	alilo	11	0.07
162500	allon	11	0.07
162509	almud	11	0.07
162526	alvim	11	0.07
162541	amber	11	0.07
162556	amish	11	0.07
162558	ammon	11	0.07
162567	amula	11	0.07
162574	anahí	11	0.07
162579	anaut	11	0.07
162594	angor	11	0.07
162604	anide	11	0.07
162615	ansió	11	0.07
162677	apean	11	0.07
162696	apold	11	0.07
162725	arani	11	0.07
162730	arbil	11	0.07
162732	arbos	11	0.07
162749	arija	11	0.07
162759	armey	11	0.07
162773	arría	11	0.07
162823	asoka	11	0.07
162834	áster	11	0.07
162843	atará	11	0.07
162852	atine	11	0.07
162856	atomo	11	0.07
162889	auque	11	0.07
162946	azoró	11	0.07
162947	azrin	11	0.07
162954	bacca	11	0.07
162960	bagon	11	0.07
162962	bailá	11	0.07
162963	baión	11	0.07
162969	bakos	11	0.07
162975	baley	11	0.07
163021	basel	11	0.07
163034	batch	11	0.07
163050	bebop	11	0.07
163063	belio	11	0.07
163065	below	11	0.07
163069	bench	11	0.07
163082	berge	11	0.07
163083	bergh	11	0.07
163099	biase	11	0.07
163108	bigos	11	0.07
163120	biord	11	0.07
163125	bivac	11	0.07
163132	blaue	11	0.07
163146	boehm	11	0.07
163149	boing	11	0.07
163153	bolón	11	0.07
163157	bonal	11	0.07
163159	boñar	11	0.07
163186	bosma	11	0.07
163200	bowls	11	0.07
163201	boxea	11	0.07
163202	bóxeo	11	0.07
163216	breff	11	0.07
163228	broda	11	0.07
163244	bubba	11	0.07
163245	bucco	11	0.07
163249	bufar	11	0.07
163252	bujes	11	0.07
163271	byass	11	0.07
163307	caías	11	0.07
163311	cairn	11	0.07
163322	calda	11	0.07
163327	calié	11	0.07
163363	cantá	11	0.07
163376	capeó	11	0.07
163438	caset	11	0.07
163439	cason	11	0.07
163486	cbtis	11	0.07
163516	cenci	11	0.07
163528	cerus	11	0.07
163531	cervo	11	0.07
163534	cetas	11	0.07
163552	chame	11	0.07
163571	chara	11	0.07
163579	cheik	11	0.07
163582	chepo	11	0.07
163583	chéri	11	0.07
163587	chian	11	0.07
163588	chiao	11	0.07
163596	chima	11	0.07
163608	chloé	11	0.07
163626	chuno	11	0.07
163631	cicer	11	0.07
163636	cifre	11	0.07
163653	cipec	11	0.07
163654	cipri	11	0.07
163669	citti	11	0.07
163671	civit	11	0.07
163673	clamo	11	0.07
163685	cleve	11	0.07
163716	codec	11	0.07
163872	conta	11	0.07
163914	copeo	11	0.07
163932	corny	11	0.07
163953	corza	11	0.07
163973	coupe	11	0.07
163978	crawl	11	0.07
163983	creed	11	0.07
164015	cuapa	11	0.07
164056	cuñao	11	0.07
164057	cuper	11	0.07
164060	cuque	11	0.07
164074	cydsa	11	0.07
164084	dally	11	0.07
164098	daxta	11	0.07
164102	debye	11	0.07
164125	deion	11	0.07
164126	deivi	11	0.07
164160	denim	11	0.07
164162	denon	11	0.07
164354	devia	11	0.07
164360	dewar	11	0.07
164361	dexar	11	0.07
164372	dibbs	11	0.07
164461	djagó	11	0.07
164470	dodds	11	0.07
164471	doigt	11	0.07
164477	donax	11	0.07
164478	donji	11	0.07
164487	doron	11	0.07
164490	dotor	11	0.07
164498	dryas	11	0.07
164503	duche	11	0.07
164505	dulia	11	0.07
164516	eafit	11	0.07
164517	eames	11	0.07
164539	eelam	11	0.07
164541	egara	11	0.07
164550	eilts	11	0.07
164551	einer	11	0.07
164557	ekono	11	0.07
164578	élmer	11	0.07
164616	empty	11	0.07
164761	envie	11	0.07
164770	epoxy	11	0.07
164792	escaf	11	0.07
164829	esmat	11	0.07
164860	esser	11	0.07
164861	essos	11	0.07
164936	exije	11	0.07
164999	falin	11	0.07
165014	faraj	11	0.07
165016	farga	11	0.07
165030	fawzi	11	0.07
165068	ficta	11	0.07
165089	finie	11	0.07
165094	fisch	11	0.07
165099	fiume	11	0.07
165101	flach	11	0.07
165113	floor	11	0.07
165126	focco	11	0.07
165127	foehn	11	0.07
165131	folks	11	0.07
165138	fonif	11	0.07
165143	forje	11	0.07
165196	fucha	11	0.07
165197	fucka	11	0.07
165205	fulco	11	0.07
165225	fuson	11	0.07
165232	gádor	11	0.07
165235	galba	11	0.07
165240	gallé	11	0.07
165257	ganja	11	0.07
165266	garbi	11	0.07
165267	garcé	11	0.07
165275	gassó	11	0.07
165277	gatún	11	0.07
165282	gayle	11	0.07
165286	geena	11	0.07
165287	gelfi	11	0.07
165288	gemex	11	0.07
165315	ghats	11	0.07
165316	ghazi	11	0.07
165336	given	11	0.07
165365	gonna	11	0.07
165376	goyén	11	0.07
165415	groer	11	0.07
165466	gypsy	11	0.07
165478	hafid	11	0.07
165479	hafiz	11	0.07
165484	hagia	11	0.07
165492	halim	11	0.07
165503	hanpi	11	0.07
165507	harel	11	0.07
165514	haski	11	0.07
165517	hauer	11	0.07
165526	heard	11	0.07
165539	hemsy	11	0.07
165550	hermo	11	0.07
165557	hevea	11	0.07
165576	himat	11	0.07
165579	hinds	11	0.07
165598	hirsh	11	0.07
165623	hooch	11	0.07
165649	hubie	11	0.07
165659	hules	11	0.07
165670	husak	11	0.07
165673	hyams	11	0.07
165682	ibera	11	0.07
165685	ibuka	11	0.07
165700	igape	11	0.07
165738	impsa	11	0.07
165742	imram	11	0.07
165769	incoó	11	0.07
165781	indar	11	0.07
165822	inman	11	0.07
165932	iruín	11	0.07
165947	itami	11	0.07
165953	iupac	11	0.07
165954	iusta	11	0.07
165959	izaña	11	0.07
165961	izcue	11	0.07
165966	jacco	11	0.07
165969	jager	11	0.07
165979	janda	11	0.07
165980	janey	11	0.07
165983	japay	11	0.07
165992	jelly	11	0.07
165998	jewel	11	0.07
166004	jipío	11	0.07
166008	joann	11	0.07
166013	jodal	11	0.07
166016	joker	11	0.07
166036	juris	11	0.07
166055	katyn	11	0.07
166057	kebab	11	0.07
166061	kendo	11	0.07
166067	khieu	11	0.07
166070	kilby	11	0.07
166075	kipur	11	0.07
166087	kojak	11	0.07
166089	konno	11	0.07
166090	korps	11	0.07
166091	korte	11	0.07
166130	lafón	11	0.07
166135	laima	11	0.07
166148	lanco	11	0.07
166168	latre	11	0.07
166178	lavie	11	0.07
166179	lavoe	11	0.07
166189	legan	11	0.07
166192	leida	11	0.07
166194	leleu	11	0.07
166200	lepus	11	0.07
166201	lequi	11	0.07
166230	ligua	11	0.07
166233	lilic	11	0.07
166268	lliçà	11	0.07
166274	lluny	11	0.07
166295	lorea	11	0.07
166303	loyal	11	0.07
166326	luzía	11	0.07
166347	mades	11	0.07
166358	magee	11	0.07
166360	magne	11	0.07
166375	majar	11	0.07
166388	malea	11	0.07
166390	malen	11	0.07
166407	maltz	11	0.07
166410	mamao	11	0.07
166411	mamie	11	0.07
166457	maree	11	0.07
166480	marlo	11	0.07
166502	massu	11	0.07
166520	matti	11	0.07
166535	mecas	11	0.07
166544	medró	11	0.07
166545	meele	11	0.07
166548	megan	11	0.07
166565	melva	11	0.07
166590	meona	11	0.07
166591	meoño	11	0.07
166620	metge	11	0.07
166625	micha	11	0.07
166637	mikey	11	0.07
166656	minix	11	0.07
166667	mirla	11	0.07
166677	mítin	11	0.07
166698	mojes	11	0.07
166709	monín	11	0.07
166774	mrsic	11	0.07
166785	muiño	11	0.07
166786	muito	11	0.07
166800	mungo	11	0.07
166803	muñoa	11	0.07
166821	mutan	11	0.07
166830	myong	11	0.07
166835	nagas	11	0.07
166846	nasca	11	0.07
166849	natis	11	0.07
166852	natur	11	0.07
166858	nayar	11	0.07
166867	neige	11	0.07
166870	nemec	11	0.07
166872	nenni	11	0.07
166900	nicha	11	0.07
166909	nikko	11	0.07
166912	niñín	11	0.07
166913	ñires	11	0.07
166917	nobbe	11	0.07
166925	norit	11	0.07
166930	nossa	11	0.07
166939	nucci	11	0.07
166970	ocopa	11	0.07
166989	oggún	11	0.07
166992	okawa	11	0.07
167037	orado	11	0.07
167052	orpis	11	0.07
167057	ortún	11	0.07
167061	osita	11	0.07
167070	otaño	11	0.07
167072	otazú	11	0.07
167079	ovata	11	0.07
167080	ovejo	11	0.07
167085	ovies	11	0.07
167088	oxana	11	0.07
167096	pa'lo	11	0.07
167113	pakko	11	0.07
167131	paltó	11	0.07
167150	papos	11	0.07
167192	passa	11	0.07
167200	patet	11	0.07
167209	pauly	11	0.07
167211	pavco	11	0.07
167212	pavés	11	0.07
167213	pávez	11	0.07
167214	pavic	11	0.07
167224	peché	11	0.07
167232	peira	11	0.07
167234	pelay	11	0.07
167241	pelié	11	0.07
167289	peyró	11	0.07
167308	pieds	11	0.07
167316	pifió	11	0.07
167318	pijas	11	0.07
167341	píriz	11	0.07
167360	pixie	11	0.07
167384	plugo	11	0.07
167401	poets	11	0.07
167416	polop	11	0.07
167461	potus	11	0.07
167484	preda	11	0.07
167541	proel	11	0.07
167580	prota	11	0.07
167599	prusa	11	0.07
167600	pryce	11	0.07
167619	pudro	11	0.07
167638	purdy	11	0.07
167643	putea	11	0.07
167646	putty	11	0.07
167654	queco	11	0.07
167684	radas	11	0.07
167689	radió	11	0.07
167694	raffa	11	0.07
167698	raime	11	0.07
167699	raimi	11	0.07
167700	rajen	11	0.07
167701	rajma	11	0.07
167709	ramus	11	0.07
167712	rapsa	11	0.07
167716	rasis	11	0.07
167722	ratti	11	0.07
167730	razor	11	0.07
167742	reato	11	0.07
167810	refin	11	0.07
167843	rehue	11	0.07
167890	rentó	11	0.07
167926	resck	11	0.07
167983	rhoda	11	0.07
167984	riáis	11	0.07
167989	ricar	11	0.07
167999	rines	11	0.07
168025	roddy	11	0.07
168030	rohde	11	0.07
168033	rolin	11	0.07
168035	römer	11	0.07
168055	rosny	11	0.07
168072	rubel	11	0.07
168079	ruini	11	0.07
168080	rumas	11	0.07
168095	sa'id	11	0.07
168097	sabal	11	0.07
168108	sachi	11	0.07
168123	sahli	11	0.07
168124	saifa	11	0.07
168133	salia	11	0.07
168149	sambo	11	0.07
168159	sanga	11	0.07
168162	sanra	11	0.07
168188	sayri	11	0.07
168205	scoop	11	0.07
168206	scoto	11	0.07
168210	sdcif	11	0.07
168235	seibo	11	0.07
168260	senas	11	0.07
168267	seppi	11	0.07
168280	serum	11	0.07
168283	servi	11	0.07
168284	servo	11	0.07
168286	sesil	11	0.07
168287	sésil	11	0.07
168292	sgbdr	11	0.07
168293	shake	11	0.07
168296	shape	11	0.07
168297	shari	11	0.07
168301	shhhh	11	0.07
168303	shoot	11	0.07
168306	shtml	11	0.07
168316	sigen	11	0.07
168352	sisea	11	0.07
168355	sitea	11	0.07
168373	smyth	11	0.07
168405	soddy	11	0.07
168407	sofip	11	0.07
168417	soleo	11	0.07
168423	sólos	11	0.07
168442	sonae	11	0.07
168452	soplé	11	0.07
168455	sordi	11	0.07
168481	splut	11	0.07
168482	spohr	11	0.07
168507	stump	11	0.07
168508	stura	11	0.07
168532	suess	11	0.07
168542	sukur	11	0.07
168571	surin	11	0.07
168572	surya	11	0.07
168582	svend	11	0.07
168594	t'ang	11	0.07
168601	tacis	11	0.07
168610	taino	11	0.07
168611	taiyo	11	0.07
168618	talks	11	0.07
168633	tanti	11	0.07
168639	tarán	11	0.07
168655	tchen	11	0.07
168667	teléf	11	0.07
168689	tepsa	11	0.07
168724	tiffi	11	0.07
168733	tinca	11	0.07
168734	tinga	11	0.07
168736	tinti	11	0.07
168764	todor	11	0.07
168767	tolba	11	0.07
168808	traés	11	0.07
168815	trala	11	0.07
168864	treat	11	0.07
168872	trepe	11	0.07
168909	trout	11	0.07
168919	tszyu	11	0.07
168923	tufts	11	0.07
168926	tupek	11	0.07
168934	turró	11	0.07
168938	tutta	11	0.07
168948	uceta	11	0.07
168950	ufanó	11	0.07
168952	ugroy	11	0.07
168970	ungía	11	0.07
168984	upacs	11	0.07
168988	usáis	11	0.07
168989	úsalo	11	0.07
168995	usila	11	0.07
168999	utero	11	0.07
169000	utset	11	0.07
169002	uzeta	11	0.07
169014	valón	11	0.07
169022	varar	11	0.07
169038	velha	11	0.07
169062	vesca	11	0.07
169068	vezes	11	0.07
169098	vilda	11	0.07
169111	vinge	11	0.07
169115	vinum	11	0.07
169117	viqui	11	0.07
169119	virto	11	0.07
169148	votad	11	0.07
169152	vusté	11	0.07
169159	warao	11	0.07
169164	wazir	11	0.07
169180	wilna	11	0.07
169186	witte	11	0.07
169201	xirgú	11	0.07
169202	xisco	11	0.07
169207	yagua	11	0.07
169208	yamel	11	0.07
169210	yanet	11	0.07
169211	yaomí	11	0.07
169212	yaqué	11	0.07
169215	yawar	11	0.07
169221	yohei	11	0.07
169222	yolas	11	0.07
169225	youri	11	0.07
169230	yusti	11	0.07
169260	zerca	11	0.07
169266	zizou	11	0.07
169272	zorka	11	0.07
169403	acsur	10	0.06
169404	actio	10	0.06
169418	adade	10	0.06
169427	adeva	10	0.06
169441	admón	10	0.06
169447	adria	10	0.06
169450	aduje	10	0.06
169459	aetsa	10	0.06
169460	afcha	10	0.06
169463	afeme	10	0.06
169472	afino	10	0.06
169479	agadu	10	0.06
169507	agría	10	0.06
169522	agung	10	0.06
169523	ahhht	10	0.06
169534	aifos	10	0.06
169537	aijón	10	0.06
169546	ajmer	10	0.06
169550	akron	10	0.06
169555	alami	10	0.06
169557	alarm	10	0.06
169579	alear	10	0.06
169589	alexa	10	0.06
169597	alíen	10	0.06
169608	allaz	10	0.06
169631	alula	10	0.06
169641	amaño	10	0.06
169670	amito	10	0.06
169671	ammar	10	0.06
169693	anair	10	0.06
169699	ancel	10	0.06
169731	anich	10	0.06
169738	annos	10	0.06
169742	añore	10	0.06
169744	anpba	10	0.06
169820	apegó	10	0.06
169828	apipé	10	0.06
169851	aprés	10	0.06
169878	araos	10	0.06
169902	arges	10	0.06
169906	argún	10	0.06
169911	arkin	10	0.06
169917	arnán	10	0.06
169926	arrán	10	0.06
169985	asigc	10	0.06
169990	askew	10	0.06
169996	assai	10	0.06
169997	assar	10	0.06
170021	atget	10	0.06
170042	atusa	10	0.06
170044	audra	10	0.06
170046	aulla	10	0.06
170048	aúnen	10	0.06
170050	auric	10	0.06
170115	ayats	10	0.06
170117	ayoka	10	0.06
170123	azize	10	0.06
170128	azuma	10	0.06
170130	baath	10	0.06
170138	bagni	10	0.06
170146	bakea	10	0.06
170168	bañes	10	0.06
170169	banis	10	0.06
170170	bañón	10	0.06
170179	barbó	10	0.06
170188	baros	10	0.06
170195	barto	10	0.06
170223	beals	10	0.06
170242	bejar	10	0.06
170257	benth	10	0.06
170263	bergé	10	0.06
170270	berón	10	0.06
170283	bevan	10	0.06
170284	bevin	10	0.06
170293	bible	10	0.06
170295	bichi	10	0.06
170321	bison	10	0.06
170346	blois	10	0.06
170348	blush	10	0.06
170354	bohan	10	0.06
170358	bolen	10	0.06
170359	boleo	10	0.06
170376	bonny	10	0.06
170409	brace	10	0.06
170426	brien	10	0.06
170437	brrrr	10	0.06
170439	bruin	10	0.06
170446	bucay	10	0.06
170447	bucci	10	0.06
170452	buffa	10	0.06
170462	buqué	10	0.06
170466	burin	10	0.06
170495	cabús	10	0.06
170502	cachí	10	0.06
170515	caión	10	0.06
170518	cajes	10	0.06
170519	cajun	10	0.06
170561	camey	10	0.06
170610	capem	10	0.06
170646	caris	10	0.06
170668	caryl	10	0.06
170669	casab	10	0.06
170679	casse	10	0.06
170707	causo	10	0.06
170712	cavim	10	0.06
170715	cazal	10	0.06
170722	ccnis	10	0.06
170723	cdhdf	10	0.06
170726	ceasa	10	0.06
170729	cebón	10	0.06
170739	cejka	10	0.06
170740	celar	10	0.06
170745	celer	10	0.06
170773	cerni	10	0.06
170782	cesna	10	0.06
170790	chama	10	0.06
170811	chaud	10	0.06
170834	chimo	10	0.06
170854	choré	10	0.06
170869	chuto	10	0.06
170872	cibcm	10	0.06
170873	cicad	10	0.06
170880	ciges	10	0.06
170883	cilea	10	0.06
170884	cilia	10	0.06
170915	cittá	10	0.06
170930	claut	10	0.06
170939	clure	10	0.06
170946	coaña	10	0.06
170947	coapa	10	0.06
170969	cofré	10	0.06
171054	conce	10	0.06
171073	condo	10	0.06
171113	conny	10	0.06
171251	cotuí	10	0.06
171261	coves	10	0.06
171264	cowen	10	0.06
171265	coyne	10	0.06
171266	cragg	10	0.06
171292	croes	10	0.06
171297	croto	10	0.06
171342	cunit	10	0.06
171350	curte	10	0.06
171365	d'elx	10	0.06
171368	d'lom	10	0.06
171371	daiwa	10	0.06
171373	daleo	10	0.06
171380	danko	10	0.06
171397	dayán	10	0.06
171459	delso	10	0.06
171460	delva	10	0.06
171468	denos	10	0.06
171484	derio	10	0.06
171621	désir	10	0.06
171717	devos	10	0.06
171736	diges	10	0.06
171748	dinah	10	0.06
171751	diniz	10	0.06
171752	diose	10	0.06
171753	diouf	10	0.06
171760	discó	10	0.06
171810	dmaic	10	0.06
171814	doboj	10	0.06
171826	dolza	10	0.06
171832	domic	10	0.06
171840	donny	10	0.06
171851	dores	10	0.06
171866	driza	10	0.06
171867	drops	10	0.06
171877	ducós	10	0.06
171883	dunar	10	0.06
171887	durão	10	0.06
171894	dying	10	0.06
171895	dymas	10	0.06
171916	edité	10	0.06
171930	egito	10	0.06
171958	elgea	10	0.06
171961	elies	10	0.06
171972	eludo	10	0.06
172004	emmys	10	0.06
172131	enosa	10	0.06
172167	entrá	10	0.06
172196	enzar	10	0.06
172208	érais	10	0.06
172209	erbín	10	0.06
172210	erdal	10	0.06
172322	estái	10	0.06
172323	estal	10	0.06
172329	estat	10	0.06
172372	etzin	10	0.06
172387	evada	10	0.06
172469	ezaki	10	0.06
172474	facho	10	0.06
172478	facur	10	0.06
172480	faget	10	0.06
172481	faisa	10	0.06
172494	faris	10	0.06
172500	farsi	10	0.06
172505	fateh	10	0.06
172508	faute	10	0.06
172515	fayga	10	0.06
172526	feher	10	0.06
172544	fespe	10	0.06
172550	fiada	10	0.06
172551	fibak	10	0.06
172560	fills	10	0.06
172573	fincó	10	0.06
172579	fisga	10	0.06
172589	fitón	10	0.06
172616	foote	10	0.06
172617	foque	10	0.06
172620	forêt	10	0.06
172639	fouls	10	0.06
172645	frack	10	0.06
172667	freyr	10	0.06
172670	frios	10	0.06
172672	froiz	10	0.06
172673	frola	10	0.06
172682	fuegi	10	0.06
172686	fulda	10	0.06
172696	fundí	10	0.06
172703	funke	10	0.06
172735	galué	10	0.06
172760	gaudi	10	0.06
172768	gazza	10	0.06
172770	géant	10	0.06
172772	gecko	10	0.06
172776	gelée	10	0.06
172791	genna	10	0.06
172820	gioia	10	0.06
172824	gires	10	0.06
172825	giron	10	0.06
172839	gneis	10	0.06
172844	godas	10	0.06
172845	godet	10	0.06
172846	godin	10	0.06
172855	gomès	10	0.06
172865	gorca	10	0.06
172868	gorge	10	0.06
172875	gotay	10	0.06
172905	grebe	10	0.06
172907	grela	10	0.06
172908	grepi	10	0.06
172958	gular	10	0.06
172965	gundy	10	0.06
172966	gunga	10	0.06
172973	gysin	10	0.06
172974	habad	10	0.06
172978	habit	10	0.06
172981	haccp	10	0.06
172987	haché	10	0.06
172990	hager	10	0.06
172992	haida	10	0.06
172998	halmi	10	0.06
173003	hapal	10	0.06
173004	haran	10	0.06
173010	harpa	10	0.06
173013	hasse	10	0.06
173023	heats	10	0.06
173026	hegra	10	0.06
173027	heiko	10	0.06
173037	henan	10	0.06
173039	henie	10	0.06
173064	hibic	10	0.06
173080	hiero	10	0.06
173089	hilio	10	0.06
173090	hilla	10	0.06
173132	holtz	10	0.06
173164	huapí	10	0.06
173166	huasi	10	0.06
173168	hubiá	10	0.06
173175	hulot	10	0.06
173189	hylsa	10	0.06
173190	hyper	10	0.06
173194	ibdes	10	0.06
173205	idées	10	0.06
173225	illie	10	0.06
173305	indol	10	0.06
173327	ingas	10	0.06
173384	insto	10	0.06
173459	inves	10	0.06
173470	iocco	10	0.06
173499	ismet	10	0.06
173513	itzam	10	0.06
173521	izará	10	0.06
173525	jabif	10	0.06
173555	jeker	10	0.06
173562	jettu	10	0.06
173564	jhony	10	0.06
173571	joane	10	0.06
173574	jódar	10	0.06
173576	joffe	10	0.06
173579	joost	10	0.06
173583	josif	10	0.06
173590	juane	10	0.06
173597	judio	10	0.06
173607	junin	10	0.06
173624	kalea	10	0.06
173625	kalla	10	0.06
173626	kamil	10	0.06
173629	kania	10	0.06
173630	kanno	10	0.06
173631	kanze	10	0.06
173637	karas	10	0.06
173648	katoh	10	0.06
173649	katow	10	0.06
173653	kekes	10	0.06
173655	kende	10	0.06
173658	kesey	10	0.06
173669	kirio	10	0.06
173672	kkata	10	0.06
173677	knoll	10	0.06
173678	knopf	10	0.06
173680	kobal	10	0.06
173686	kolon	10	0.06
173690	kongo	10	0.06
173691	koobi	10	0.06
173693	kórai	10	0.06
173701	kriba	10	0.06
173711	kumul	10	0.06
173713	kuntz	10	0.06
173715	kusch	10	0.06
173716	kutla	10	0.06
173735	lácar	10	0.06
173745	ladri	10	0.06
173759	laman	10	0.06
173774	lanny	10	0.06
173793	latal	10	0.06
173796	lauer	10	0.06
173810	lebel	10	0.06
173821	leges	10	0.06
173822	legia	10	0.06
173831	leith	10	0.06
173835	lenka	10	0.06
173861	liane	10	0.06
173862	liang	10	0.06
173874	licra	10	0.06
173911	linum	10	0.06
173917	liris	10	0.06
173923	lists	10	0.06
173929	lizas	10	0.06
173950	lluco	10	0.06
173973	loved	10	0.06
173990	lurie	10	0.06
173993	lutte	10	0.06
173997	lyrae	10	0.06
174027	madox	10	0.06
174041	majan	10	0.06
174042	majid	10	0.06
174045	makes	10	0.06
174048	maldá	10	0.06
174053	malek	10	0.06
174137	marès	10	0.06
174159	marón	10	0.06
174164	marsà	10	0.06
174186	masia	10	0.06
174213	matuk	10	0.06
174218	mayam	10	0.06
174220	mayán	10	0.06
174226	mazaé	10	0.06
174315	metés	10	0.06
174325	meyba	10	0.06
174330	mezza	10	0.06
174333	mibel	10	0.06
174353	milia	10	0.06
174355	milli	10	0.06
174361	minha	10	0.06
174372	mioma	10	0.06
174392	mitla	10	0.06
174411	modes	10	0.06
174417	mohan	10	0.06
174423	mojos	10	0.06
174440	monna	10	0.06
174446	monsó	10	0.06
174488	mouro	10	0.06
174504	mugía	10	0.06
174517	munda	10	0.06
174522	muriá	10	0.06
174524	murio	10	0.06
174541	myron	10	0.06
174542	nabih	10	0.06
174553	nandu	10	0.06
174586	ñawin	10	0.06
174596	necso	10	0.06
174598	nedda	10	0.06
174603	nemes	10	0.06
174604	nemov	10	0.06
174632	nexcy	10	0.06
174637	nicot	10	0.06
174642	nihon	10	0.06
174644	nimoy	10	0.06
174648	nisán	10	0.06
174655	nizam	10	0.06
174658	nobre	10	0.06
174678	nosty	10	0.06
174681	novae	10	0.06
174689	nsabp	10	0.06
174692	nubio	10	0.06
174698	nuila	10	0.06
174701	ñusta	10	0.06
174731	ocelo	10	0.06
174738	odell	10	0.06
174748	ogden	10	0.06
174755	ojera	10	0.06
174768	olote	10	0.06
174775	ondeo	10	0.06
174777	oneal	10	0.06
174796	ordax	10	0.06
174797	órden	10	0.06
174799	orduz	10	0.06
174812	orixe	10	0.06
174829	osmel	10	0.06
174830	osram	10	0.06
174859	pacón	10	0.06
174868	pajón	10	0.06
174874	palía	10	0.06
174877	palin	10	0.06
174898	panty	10	0.06
174901	papez	10	0.06
174912	parag	10	0.06
174957	pasha	10	0.06
174972	patel	10	0.06
174990	peach	10	0.06
175000	pegad	10	0.06
175041	pepet	10	0.06
175064	perga	10	0.06
175076	perlé	10	0.06
175102	perún	10	0.06
175126	picco	10	0.06
175130	picio	10	0.06
175138	pigni	10	0.06
175160	pirao	10	0.06
175179	pixar	10	0.06
175184	plaff	10	0.06
175185	plain	10	0.06
175194	plass	10	0.06
175209	podal	10	0.06
175214	pókar	10	0.06
175237	polya	10	0.06
175251	porch	10	0.06
175267	poseí	10	0.06
175291	praag	10	0.06
175327	preña	10	0.06
175353	prete	10	0.06
175496	purim	10	0.06
175501	putti	10	0.06
175502	pyrex	10	0.06
175504	quake	10	0.06
175532	quila	10	0.06
175549	qusay	10	0.06
175550	rabah	10	0.06
175562	raffy	10	0.06
175563	ragué	10	0.06
175567	raina	10	0.06
175579	randi	10	0.06
175606	raviv	10	0.06
175639	recao	10	0.06
175696	redmo	10	0.06
175790	renat	10	0.06
175867	retel	10	0.06
175888	reuss	10	0.06
175892	revea	10	0.06
175922	rezze	10	0.06
175929	riato	10	0.06
175964	robes	10	0.06
175967	rocci	10	0.06
175969	rodal	10	0.06
175973	rodón	10	0.06
175989	roney	10	0.06
175990	rooks	10	0.06
175991	roots	10	0.06
176023	rudra	10	0.06
176044	sabiá	10	0.06
176058	safor	10	0.06
176105	saneó	10	0.06
176144	sauvy	10	0.06
176146	saxon	10	0.06
176153	schad	10	0.06
176158	scher	10	0.06
176172	scope	10	0.06
176220	senac	10	0.06
176231	separ	10	0.06
176259	shafi	10	0.06
176270	shycp	10	0.06
176293	simms	10	0.06
176299	sinap	10	0.06
176307	sinos	10	0.06
176312	siore	10	0.06
176316	sisac	10	0.06
176317	sismi	10	0.06
176324	skala	10	0.06
176325	skype	10	0.06
176327	sling	10	0.06
176329	smedt	10	0.06
176332	soaps	10	0.06
176338	sobré	10	0.06
176361	socos	10	0.06
