Orden	Palabra	Frec.absoluta	Frec.normalizada
1239	leche	11239	73.67
1242	tarea	11215	73.51
1246	plata	11177	73.26
1250	dando	11151	73.09
1257	ganar	11074	72.58
1259	calor	11067	72.54
1262	suele	11055	72.46
1263	miles	11034	72.32
1264	ritmo	11016	72.20
1267	pasos	11009	72.16
1279	pesos	10951	71.78
1282	plano	10939	71.70
1288	jugar	10886	71.35
1291	gesto	10844	71.08
1293	vasco	10831	70.99
1295	gómez	10811	70.86
1297	pocas	10805	70.82
1304	verde	10769	70.58
1310	pidió	10755	70.49
1317	comer	10716	70.24
1318	fines	10693	70.09
1323	labor	10656	69.84
1325	justo	10635	69.71
1340	actos	10547	69.13
1350	museo	10449	68.49
1361	pagar	10407	68.21
1363	sabes	10391	68.11
1366	áreas	10363	67.92
1382	santo	10285	67.41
1383	vieja	10282	67.39
1384	mario	10251	67.19
1398	reina	10153	66.55
1404	salvo	10110	66.26
1411	quiso	10068	65.99
1419	acaba	10016	65.65
1428	marca	9965	65.31
1444	pleno	9834	64.46
1459	brazo	9737	63.82
1469	acaso	9688	63.50
1483	error	9616	63.03
1490	seres	9581	62.80
1493	poeta	9572	62.74
1507	altos	9459	62.00
1509	hojas	9453	61.96
1525	darle	9322	61.10
1526	clave	9321	61.09
1529	votos	9315	61.05
1530	logró	9289	60.88
1532	sirve	9284	60.85
1534	deuda	9271	60.77
1563	feliz	9194	60.26
1570	tanta	9168	60.09
1572	mente	9147	59.95
1575	breve	9139	59.90
1599	firma	9024	59.15
1607	jaime	8953	58.68
1609	canal	8950	58.66
1624	conde	8869	58.13
1630	carga	8827	57.85
1634	reyes	8799	57.67
1640	abrir	8776	57.52
1641	cuyos	8776	57.52
1644	negra	8740	57.28
1650	morir	8711	57.09
1666	caída	8629	56.56
1672	banda	8608	56.42
1675	frase	8597	56.35
1676	bases	8590	56.30
1682	culpa	8580	56.24
1688	entra	8562	56.12
1689	hayan	8553	56.06
1715	diego	8480	55.58
1716	actor	8477	55.56
1733	sacar	8386	54.96
1739	murió	8348	54.72
1740	éstas	8335	54.63
1741	saben	8332	54.61
1747	corto	8312	54.48
1763	david	8244	54.03
1766	salón	8223	53.90
1774	cifra	8189	53.67
1780	bolsa	8167	53.53
1788	fuese	8134	53.31
1798	serio	8100	53.09
1801	reino	8093	53.04
1812	plena	8065	52.86
1813	venía	8061	52.83
1815	aznar	8042	52.71
1818	legal	8029	52.62
1819	abrió	8021	52.57
1833	china	7939	52.03
1865	dedos	7836	51.36
1867	creer	7829	51.31
1874	voces	7808	51.18
1876	ángel	7784	51.02
1882	temor	7743	50.75
1885	pensó	7731	50.67
1886	dudas	7717	50.58
1898	lleno	7671	50.28
1902	vacío	7654	50.17
1903	ciclo	7653	50.16
1904	valle	7653	50.16
1912	llamó	7635	50.04
1915	pecho	7617	49.92
1916	honor	7615	49.91
1917	pedir	7610	49.88
1937	mirar	7552	49.50
1945	clima	7523	49.31
1949	punta	7513	49.24
1954	posee	7506	49.20
1955	entró	7504	49.18
1967	pacto	7475	48.99
1990	penal	7376	48.34
1991	llena	7371	48.31
1997	angel	7346	48.15
2025	disco	7268	47.64
2035	ideal	7224	47.35
2043	artes	7193	47.14
2046	villa	7189	47.12
2052	venir	7180	47.06
2065	miami	7130	46.73
2082	ruido	7065	46.31
2101	basta	6977	45.73
2116	tabla	6947	45.53
2143	avión	6853	44.92
2145	cuyas	6842	44.84
2147	habló	6838	44.82
2149	humor	6832	44.78
2154	darse	6828	44.75
2158	ganas	6820	44.70
2162	dosis	6812	44.65
2168	altas	6798	44.56
2169	pared	6797	44.55
2173	perro	6786	44.48
2182	añade	6755	44.27
2190	viven	6714	44.00
2196	debió	6690	43.85
2202	hogar	6670	43.72
2211	pieza	6626	43.43
2212	firme	6624	43.41
2218	exige	6600	43.26
2222	polvo	6592	43.20
2233	luces	6530	42.80
2242	virus	6491	42.54
2251	nació	6464	42.37
2253	ánimo	6462	42.35
2282	césar	6388	41.87
2306	gasto	6327	41.47
2318	pausa	6288	41.21
2328	estén	6269	41.09
2329	playa	6267	41.07
2334	horno	6245	40.93
2338	japón	6231	40.84
2343	anual	6217	40.75
2358	norma	6157	40.35
2372	tomás	6125	40.14
2373	dulce	6119	40.10
2378	mando	6102	39.99
2387	chica	6085	39.88
2407	unido	6038	39.57
2415	acabó	6009	39.38
2422	solar	5997	39.30
2423	costo	5995	39.29
2425	tesis	5994	39.28
2441	toros	5944	38.96
2445	ocupa	5936	38.90
2446	patio	5935	38.90
2448	corta	5930	38.87
2459	señal	5898	38.66
2463	paseo	5880	38.54
2464	arena	5876	38.51
2476	dejan	5840	38.28
2484	barco	5825	38.18
2486	signo	5821	38.15
2488	árbol	5816	38.12
2493	vemos	5805	38.05
2499	oscar	5793	37.97
2503	pista	5784	37.91
2505	marta	5775	37.85
2511	modos	5763	37.77
2518	desea	5754	37.71
2536	pasan	5720	37.49
2548	vuelo	5694	37.32
2566	silla	5659	37.09
2577	chico	5632	36.91
2579	contó	5629	36.89
2589	feria	5609	36.76
2590	rueda	5603	36.72
2598	verse	5582	36.58
2602	hecha	5578	36.56
2604	ponen	5576	36.54
2610	rojas	5562	36.45
2616	matar	5536	36.28
2622	motor	5515	36.15
2626	rumbo	5506	36.09
2627	trato	5502	36.06
2631	pensé	5496	36.02
2645	creía	5456	35.76
2656	borde	5436	35.63
2659	metro	5429	35.58
2663	creen	5421	35.53
2673	dueño	5403	35.41
2675	bajar	5397	35.37
2677	rusia	5395	35.36
2704	vidas	5331	34.94
2706	subir	5330	34.93
2708	droga	5323	34.89
2764	bajas	5205	34.11
2767	jefes	5203	34.10
2770	vivía	5200	34.08
2772	reloj	5199	34.07
2781	elena	5176	33.92
2783	danza	5173	33.90
2785	notas	5171	33.89
2787	suave	5168	33.87
2797	fotos	5141	33.69
2799	masas	5135	33.65
2812	arroz	5098	33.41
2814	islas	5096	33.40
2815	goles	5094	33.39
2833	fruto	5069	33.22
2837	torre	5060	33.16
2847	salas	5040	33.03
2848	vital	5038	33.02
2851	sabor	5031	32.97
2867	tasas	5001	32.78
2874	dieta	4986	32.68
2876	andar	4982	32.65
2878	pilar	4980	32.64
2913	rival	4906	32.15
2922	traje	4898	32.10
2925	techo	4894	32.07
2942	diría	4863	31.87
2969	ricos	4831	31.66
2982	salsa	4818	31.58
2988	amiga	4809	31.52
2996	haría	4795	31.43
2998	vivos	4793	31.41
3002	fidel	4789	31.39
3006	india	4780	31.33
3010	tocar	4776	31.30
3016	bajos	4771	31.27
3019	malos	4763	31.22
3031	oeste	4739	31.06
3036	rural	4731	31.01
3037	nariz	4729	30.99
3048	letra	4709	30.86
3061	logra	4691	30.74
3067	ópera	4682	30.68
3072	ácido	4673	30.63
3073	banca	4670	30.61
3075	canto	4669	30.60
3091	débil	4648	30.46
3098	plato	4641	30.42
3101	monte	4637	30.39
3102	ética	4636	30.38
3107	salen	4626	30.32
3108	pujol	4622	30.29
3112	daños	4611	30.22
3123	salto	4599	30.14
3127	moscú	4596	30.12
3144	bomba	4563	29.90
3173	surge	4521	29.63
3183	oreja	4506	29.53
3207	muñoz	4455	29.20
3213	xviii	4446	29.14
3216	calma	4437	29.08
3234	baile	4405	28.87
3240	queso	4397	28.82
3243	mueve	4394	28.80
3251	euros	4385	28.74
3254	coste	4383	28.73
3267	ronda	4367	28.62
3270	kilos	4364	28.60
3274	rigor	4361	28.58
3278	ponía	4354	28.53
3286	cerró	4342	28.46
3288	palma	4339	28.44
3289	turno	4339	28.44
3295	grito	4327	28.36
3308	deber	4301	28.19
3309	ramas	4300	28.18
3314	lento	4293	28.14
3318	beber	4285	28.08
3320	actúa	4283	28.07
3322	sentí	4275	28.02
3326	salía	4268	27.97
3332	caído	4255	27.89
3334	huevo	4252	27.87
3338	corre	4241	27.79
3342	juega	4239	27.78
3347	trató	4236	27.76
3350	vigor	4232	27.74
3354	redes	4230	27.72
3358	venga	4220	27.66
3379	hagan	4189	27.45
3383	bella	4179	27.39
3406	daban	4156	27.24
3409	sufre	4148	27.18
3442	luisa	4105	26.90
3453	regla	4083	26.76
3497	poema	4031	26.42
3502	limón	4025	26.38
3505	dólar	4022	26.36
